,user_id,avg_time_difference,avg_time_difference_in_min,avg_time_difference_in_hours,followers_count,retweet_count,sentiment_score,sentiment,extreme_user
8204,1261724797643489280,0 days 00:01:32.727272727,1.53,0.026,14,14,3,positive,1
8205,1261744180318986240,0 days 00:15:23.666666666,15.38,0.256,173,13,1,positive,1
8206,1261837294551683074,0 days 00:00:09.750000000,0.15,0.003,41,67,0,neutral,1
8207,1261838299540291584,0 days 01:46:45.285714285,106.75,1.779,93,14,-1,negative,0
8208,1261844521635262464,0 days 02:27:59.903225806,147.98,2.466,360,117,5,positive,0
8209,1261850987389542401,0 days 00:01:57.250000000,1.95,0.033,123,6,-1,negative,1
8210,1261852378850000897,0 days 01:04:36.666666666,64.6,1.077,192,6,0,neutral,1
8211,1261856489662287875,0 days 02:57:35.500000000,177.58,2.96,97,17,-1,negative,0
8212,1261860091218845696,0 days 00:31:09.000000000,31.15,0.519,12,40,0,neutral,1
8213,1261864369941557248,0 days 03:55:22.833333333,235.37,3.923,112,5,3,positive,0
8214,1261871762574315520,0 days 02:20:29.272727272,140.48,2.341,3,91,2,positive,0
8215,1261879141277724672,0 days 01:24:15.933333333,84.25,1.404,81,30,-3,negative,1
8216,1261886795941400576,0 days 03:39:56.285714285,219.93,3.666,17,60,0,neutral,0
8217,1261892929515225088,0 days 00:05:02.500000000,5.03,0.084,173,7,1,positive,1
8218,1261894255259205632,0 days 12:18:15.000000000,738.25,12.304,387,25,-1,negative,0
8219,1261894728976494593,0 days 09:34:54.600000000,574.9,9.582,441,3645,-1,negative,0
8220,1261897285451091968,0 days 01:38:05.437500000,98.08,1.635,42,35,4,positive,0
8221,1261897724829597696,0 days 00:02:02.125000000,2.03,0.034,22,69,-2,negative,1
8222,1261901376520683520,0 days 00:45:48.888888888,45.8,0.763,22,91,0,neutral,1
8223,1261905568048066560,0 days 00:00:06.550000000,0.1,0.002,47,22,-4,negative,1
8224,1261906478757228551,0 days 04:06:05.666666666,246.08,4.101,92,31,1,positive,0
8225,1261907904980008963,0 days 00:02:57.000000000,2.95,0.049,5,160,0,neutral,1
8226,1261908827147915266,0 days 09:47:14.200000000,587.23,9.787,528,324,0,neutral,0
8227,1261922218600251393,0 days 11:52:56.000000000,712.93,11.882,22,44,2,positive,0
8228,1261939039772393473,0 days 00:00:25.750000000,0.42,0.007,47,112,3,positive,1
8229,1261952627685941248,0 days 00:00:03.333333333,0.05,0.001,122,107,1,positive,1
8230,1261962149733097478,0 days 00:25:08.666666666,25.13,0.419,269,49,2,positive,1
8231,1261973995563257858,0 days 02:30:02.666666666,150.03,2.501,58,20,0,neutral,0
8232,1261981232671449088,0 days 04:58:29.500000000,298.48,4.975,870,1,0,neutral,0
8233,1261984754565447680,0 days 06:08:42.750000000,368.7,6.145,20,172,0,neutral,0
8234,1261994319214342144,0 days 10:17:48.400000000,617.8,10.297,16,15,0,neutral,0
8235,1261996903920734209,0 days 01:51:32.833333333,111.53,1.859,61,14,1,positive,0
8236,1262000673564098563,0 days 00:10:09.500000000,10.15,0.169,136,14,1,positive,1
8237,1262012184634159104,0 days 04:57:02.000000000,297.03,4.951,267,67,-1,negative,0
